,Coordinates
511,"(31.183078799999993, -103.21567519999996)"
512,"(31.183078799999993, -102.97043699999996)"
513,"(31.183078799999993, -102.72519879999996)"
514,"(31.183078799999993, -102.47996059999996)"
515,"(31.183078799999993, -102.23472239999995)"
516,"(31.183078799999993, -101.98948419999995)"
517,"(31.183078799999993, -101.74424599999995)"
518,"(31.183078799999993, -101.49900779999994)"
519,"(31.183078799999993, -101.25376959999994)"
520,"(31.183078799999993, -101.00853139999994)"
521,"(31.183078799999993, -100.76329319999994)"
522,"(31.183078799999993, -100.51805499999993)"
523,"(31.183078799999993, -100.27281679999993)"
524,"(31.183078799999993, -100.02757859999993)"
525,"(30.937840599999994, -99.78234039999992)"
526,"(30.937840599999994, -99.53710219999992)"
527,"(30.937840599999994, -99.29186399999992)"
528,"(30.937840599999994, -99.04662579999992)"
529,"(30.937840599999994, -98.80138759999991)"
530,"(30.937840599999994, -98.55614939999991)"
531,"(30.937840599999994, -98.31091119999991)"
532,"(30.937840599999994, -98.0656729999999)"
533,"(30.937840599999994, -97.8204347999999)"
534,"(30.937840599999994, -97.5751965999999)"
535,"(30.937840599999994, -97.3299583999999)"
536,"(30.937840599999994, -97.0847201999999)"
537,"(30.937840599999994, -96.83948199999989)"
538,"(30.937840599999994, -96.59424379999989)"
539,"(30.937840599999994, -96.34900559999988)"
540,"(30.937840599999994, -96.10376739999988)"
541,"(30.937840599999994, -95.85852919999988)"
542,"(30.937840599999994, -95.61329099999988)"
543,"(30.937840599999994, -104.93234259999998)"
544,"(30.937840599999994, -104.68710439999998)"
545,"(30.937840599999994, -104.44186619999998)"
546,"(30.937840599999994, -104.19662799999998)"
547,"(30.937840599999994, -103.95138979999997)"
548,"(30.937840599999994, -103.70615159999997)"
549,"(30.937840599999994, -103.46091339999997)"
550,"(30.937840599999994, -103.21567519999996)"
551,"(30.937840599999994, -102.97043699999996)"
552,"(30.937840599999994, -102.72519879999996)"
553,"(30.937840599999994, -102.47996059999996)"
554,"(30.937840599999994, -102.23472239999995)"
555,"(30.937840599999994, -101.98948419999995)"
556,"(30.937840599999994, -101.74424599999995)"
557,"(30.937840599999994, -101.49900779999994)"
558,"(30.937840599999994, -101.25376959999994)"
